"Date","Ticker","ticker_name","exposure","category","close","model_score"
8/27/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.49,-0.01
8/28/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",219.42,-5.60
8/29/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.44,0.13
8/30/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",220.33,0.18
9/3/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",210.21,1.28
9/4/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.67,3.43
9/5/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.35,-0.28
9/6/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",203.92,-2.60
9/9/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",207.26,-2.64
9/10/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",210.36,-2.97
9/11/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.54,-6.61
9/12/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",219.34,-5.13
9/13/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",220.44,-0.25
9/16/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",219.60,-0.03
9/17/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",219.17,-9.27
9/18/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.17,-9.28
9/19/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.62,-2.87
9/20/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.53,-4.04
11/6/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.35,-7.97
11/7/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",237.42,-0.20
11/8/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",237.16,-0.10
11/11/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.85,-10.54
9/23/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.09,-6.88
9/24/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.61,0.26
9/25/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",224.25,0.02
9/26/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.22,-0.10
9/27/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.10,0.05
9/30/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.76,0.02
10/1/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",220.26,-0.26
10/2/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",221.89,3.70
10/3/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.81,6.66
10/4/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.29,9.49
10/7/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.74,10.30
10/8/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.92,9.67
10/9/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.47,0.27
10/10/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.41,0.26
10/11/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.81,0.42
