Ticker,Date,Zscore,prem_disc
BR,2025-09-05,-2.92,0.7908
BR,2025-08-06,2.37,-0.0539
BRK.B,2025-09-05,-1.7,0.2323
BRK.B,2025-08-06,1.96,1.0586
BRO,2025-09-05,-1.39,0.5722
BRO,2025-08-06,1.39,-0.3947
BSX,2025-09-05,-1.97,0.6595
BSX,2025-08-06,1.04,0.0388
BTI,2025-09-05,1.32,0.5211
BTI,2025-08-06,-2.2,1.0082
BTU,2025-09-05,-0.54,0.0635
BTU,2025-08-06,0.53,-0.7818
BX,2025-09-05,-0.61,0.1354
BX,2025-08-06,0.6,-0.331
BXP,2025-09-05,-1.23,0.1072
BXP,2025-08-06,1.03,-0.3527
C,2025-09-05,-0.08,0.0818
C,2025-08-06,0.26,-0.3034
CAG,2025-09-05,0.03,0.1828
CAG,2025-08-06,0.17,-0.2099
CAH,2025-09-05,0.48,-0.1567
CAH,2025-08-06,-1.65,1.3514
CARR,2025-09-05,-1.13,-0.0952
CARR,2025-08-06,1.38,-0.6576
CAT,2025-09-05,1.22,-0.1459
CAT,2025-08-06,1.63,0.5784
CB,2025-09-05,-0.75,0.3698
CB,2025-08-06,-1.64,0.4869
CBOE,2025-09-05,0.29,-0.0402
CBOE,2025-08-06,1.24,0.16
CBRE,2025-09-05,-1.23,0.197
CBRE,2025-08-06,1.18,-0.0746
CCI,2025-09-05,-1.18,0.287
CCI,2025-08-06,1.38,-0.2342
CCJ,2025-09-05,0.79,0.1007
CCJ,2025-08-06,-1.14,1.9148
CCL,2025-09-05,0.85,0.2644
CCL,2025-08-06,-1.2,0.2875
CDNS,2025-09-05,-1.44,0.5532
CDNS,2025-08-06,1.23,-0.1771
CDW,2025-09-05,-2.14,0.1064
CDW,2025-08-06,1.63,-0.2041
CEG,2025-09-05,-1.95,0.6411
CEG,2025-08-06,1.44,-0.3634
CF,2025-09-05,-1.7,-0.256
CF,2025-08-06,-0.28,-0.1172
CFG,2025-09-05,0.27,0.1047
CFG,2025-08-06,-0.14,0.1648
CHD,2025-09-05,-2.02,-0.2241
CHD,2025-08-06,2.52,1.1938
CHRW,2025-09-05,-1.71,0.1663
CHRW,2025-08-06,1.72,-0.6843
CHTR,2025-09-05,-1.27,0.4631
CHTR,2025-08-06,1.09,-0.5117
CI,2025-09-05,-1.81,0.614
CI,2025-08-06,1.78,-0.414
CINF,2025-09-05,-1.95,0.2448
CINF,2025-08-06,1.53,0.0541
CIVI,2025-09-05,-0.42,0.0778
CIVI,2025-08-06,-2.78,-0.2053
