"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
8/1/2024 0:00:00,"XLK","-0.1848","-0.0017","0.3083","-0.3117"
8/2/2024 0:00:00,"XLK","-0.0077","-0.0017","0.3083","-0.3117"
8/5/2024 0:00:00,"XLK","0.2477","-0.0017","0.3083","-0.3117"
8/6/2024 0:00:00,"XLK","-0.1805","-0.0017","0.3083","-0.3117"
8/7/2024 0:00:00,"XLK","-0.1157","-0.0017","0.3083","-0.3117"
8/8/2024 0:00:00,"XLK","-0.0726","-0.0017","0.3083","-0.3117"
8/9/2024 0:00:00,"XLK","-0.2334","-0.0017","0.3083","-0.3117"
8/12/2024 0:00:00,"XLK","-0.2229","-0.0017","0.3083","-0.3117"
8/13/2024 0:00:00,"XLK","-0.3306","-0.0017","0.3083","-0.3117"
8/14/2024 0:00:00,"XLK","-0.3865","-0.0017","0.3083","-0.3117"
8/15/2024 0:00:00,"XLK","-0.3791","-0.0017","0.3083","-0.3117"
8/16/2024 0:00:00,"XLK","-0.4069","-0.0017","0.3083","-0.3117"
8/19/2024 0:00:00,"XLK","-0.4079","-0.0017","0.3083","-0.3117"
8/20/2024 0:00:00,"XLK","-0.3677","-0.0017","0.3083","-0.3117"
8/21/2024 0:00:00,"XLK","-0.3434","-0.0017","0.3083","-0.3117"
8/22/2024 0:00:00,"XLK","-0.2513","-0.0017","0.3083","-0.3117"
8/23/2024 0:00:00,"XLK","-0.3189","-0.0017","0.3083","-0.3117"
8/26/2024 0:00:00,"XLK","-0.3249","-0.0017","0.3083","-0.3117"
8/27/2024 0:00:00,"XLK","-0.3303","-0.0017","0.3083","-0.3117"
8/28/2024 0:00:00,"XLK","-0.5365","-0.0017","0.3083","-0.3117"
8/29/2024 0:00:00,"XLK","-0.2208","-0.0017","0.3083","-0.3117"
8/30/2024 0:00:00,"XLK","-0.2771","-0.0017","0.3083","-0.3117"
9/3/2024 0:00:00,"XLK","-0.3145","-0.0017","0.3083","-0.3117"
9/4/2024 0:00:00,"XLK","-0.0457","-0.0017","0.3083","-0.3117"
9/5/2024 0:00:00,"XLK","-0.1751","-0.0017","0.3083","-0.3117"
9/6/2024 0:00:00,"XLK","-0.1114","-0.0017","0.3083","-0.3117"
9/9/2024 0:00:00,"XLK","-0.0253","-0.0017","0.3083","-0.3117"
9/10/2024 0:00:00,"XLK","-0.1467","-0.0017","0.3083","-0.3117"
9/11/2024 0:00:00,"XLK","-0.2353","-0.0017","0.3083","-0.3117"
